name,acc_mean,acc_std,acc_max,acc_min,acc_range,acc_variability,acc_x_std,acc_y_std,acc_z_std,acc_dominant_freq,acc_no_gravity_mean,acc_no_gravity_std,sampling_rate,gyro_mean,gyro_std,gyro_max,gyro_x_std,gyro_y_std,gyro_z_std,linear_acc_mean,linear_acc_std,linear_acc_max,mag_mean,mag_std,loc_velocity_mean,loc_velocity_max,loc_velocity_std,terrain,activity
running_flat,10.333038543809478,4.233881385194863,25.754144686500336,0.798959497124144,24.95518518937619,0.47074418372471544,2.1769171047336116,1.7523406177054908,4.402134491869792,6.447802683491386,5.347540151459798,2.6535568133540752,395.7078904949149,0.898915785254724,0.5795660214708914,3.840124823251004,0.9199547701921761,0.38477289531376857,0.38477289531376857,4.284215013595498,2.90172790184318,16.36713632456663,46.17922189641798,1.5803233255043094,2.3823060194651284,2.637436628341675,0.22461376926748267,Flat,Running
running_upslope,10.308360148636432,3.527998913621184,27.381523983835173,0.23388975125959235,27.14763423257558,0.3718197007969412,2.2694322577985835,1.5073878954463127,3.7106485793640163,5.928717452148001,5.114982121915566,2.239941722382807,395.76985557923825,0.9874244565122543,0.6094620912537927,3.350094259557015,0.9189236857564583,0.5009212001047477,0.5009212001047477,3.815296067683541,2.461140717150572,18.273159521276412,47.65425360981964,2.371096563084634,1.9281494617462158,1.944105863571167,0.02256575986752075,Uphill,Running
running_downslope,10.4734494427282,4.435635270638853,28.63508240718663,1.6341304584057523,27.000951948780877,0.4837431466643029,2.7317088745915714,1.6849610126138794,4.6137211071527116,5.847953258205067,5.30160501933077,2.7924638384058027,395.86145132465066,1.0959583441548573,0.7604503628000419,5.309335335114006,1.0530035810097382,0.5790883325967594,0.5790883325967594,4.674213943575346,3.0671917296467104,19.911050557646888,45.18122798833622,2.3452440779884935,2.297719955444336,2.297719955444336,,Downhill,Running
running_flat_upslope,10.461433655275265,4.148313894501692,28.903765963769786,0.35618790160067376,28.547578062169112,0.4819861862457168,2.4462071870905002,1.8706713157390895,4.4222248054227355,6.828403253506186,5.086089636881533,2.586475187411196,395.98173097976735,1.1751684352739673,0.7176098516406517,4.319615294342176,1.1021709897637424,0.5827856706544484,0.5827856706544484,4.653121559246266,2.675695847862929,19.341858784747096,46.35746613308453,2.262703520309163,1.7276453421666071,2.8366341590881348,1.1398853762301635,Flat→Uphill,Running
running_downslope_flat,10.45012160628203,4.580197102580656,28.253224118670325,0.8141058727214254,27.439118245948897,0.5067573589875942,2.5274273745719698,1.8103791038438704,4.794194862598766,6.098193925021338,5.380436690656645,2.678885339857572,395.86829961463815,1.1669931056282257,0.7666068804378343,5.079331426262964,1.0713737202235638,0.6332152450374167,0.6332152450374167,4.899745780112159,2.8216410213568013,18.38661550201593,47.86507110614856,2.037847659403233,2.304926143752204,2.7867062091827393,0.9028221382503734,Downhill→Flat,Running
ebike_flat,10.240344901776353,4.476464194278759,68.47079234420117,0.43140029981793054,68.03939204438323,1.868974971431601,1.0702043662985525,1.898761234255277,4.764848790618523,0.0,3.526918093728964,3.905204060727529,395.9217083674626,0.24000018703490666,0.3190649026060641,2.9174275907951457,0.3810649473761385,0.08289873941658649,0.08289873941658649,3.314159562385597,4.050854760873787,44.94199342850689,41.74164271221552,0.9714813983294491,1.6820478616282344,3.4980521202087402,1.5467140508754218,Flat,E-bike
ebike_upslope,9.945093829083845,1.6964298072056594,23.267440740447736,2.685637381694883,20.581803358752854,0.6909634347932601,0.7056317890250944,0.7292244836867924,1.8310154462977128,0.0,3.6211449991926927,0.9516230280864838,396.0297582254139,0.11934258740281392,0.08748471713956332,0.4740578841919462,0.07913411038541952,0.0880904585536649,0.0880904585536649,1.658986377338775,1.2407733044480016,13.58513546562208,35.00548612575956,3.2160943458624813,1.0627469718456268,2.4300036430358887,0.599697121862963,Uphill,E-bike
ebike_downslope,10.52492419964898,6.8891670769856175,99.51240727117026,0.135072234499143,99.37733503667111,4.608991629314715,2.24042342410986,3.59678139205962,6.746151891960737,0.0,4.503462874328268,6.675070387083483,395.808664029699,0.3159626647248269,0.5527247682517498,6.017859093632903,0.5475150625434886,0.22925133982816337,0.22925133982816337,4.074975880001788,7.071809915144572,93.75727304104143,48.11253017631273,3.1264689552166356,1.2063617940459932,3.5088613033294678,1.259431234957233,Downhill,E-bike
ebike_flat_upslope,10.242933839405966,4.994732189029919,70.33944807977326,0.24994601781437809,70.08950206195888,2.955771195465876,1.2735423550876268,1.6562760326939177,5.290443724098569,0.0,4.730871951767146,3.772440513616671,396.1090803688227,0.1996710805017658,0.1951234762406312,2.0791864992704756,0.24923934973123638,0.08893808417052831,0.08893808417052831,4.075215749687559,4.104401703638709,51.906682144947105,46.74477554564659,2.1825454160516866,3.0551852107048036,4.017921447753906,0.8441730616260481,Flat→Uphill,E-bike
ebike_downslope_flat,10.674038796086796,7.013611234187749,84.16908505557087,0.12358562242397246,84.0454994331469,5.32161103121235,2.057285253831017,2.8580920191507144,7.321044246323521,0.0,5.924082130025134,5.860650901469659,396.01734101928156,0.26962128221382575,0.3884840331430929,5.366036790084591,0.4169095409434363,0.15409502450530632,0.15409502450530632,5.3590225870945405,6.395619026650808,77.8390342432809,42.347197713628425,1.7595240048102372,2.0993460446596144,4.60676383972168,1.934990563490944,Downhill→Flat,E-bike
